instruction,response
"Yaz okulunda bitirme projesi dersini almanın avantajları ve dezavantajları nelerdir, bu konuda daha fazla bilgi alabileceğim kaynaklar nelerdir?","Mezuniyet için sadece Bitirme Ödevi/Bitirme Projesi/Bitirme Tezi vb. bireysel
çalışma gerektiren bir dersten kalan öğrenci, bu dersini Yaz Okulunda alabilir. Bu
derslerin açılması için kontenjan sınırı aranmaz."
"Yaz okulunda en fazla kaç adet ders alabileceğim konusunda belirlenen kurallar nelerdir, bu bilgiye nereden ulaşabilirim?
","Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
Yaz okulunda alabileceğim ders sayısı akademik başarıma ve diğer faktörlere göre nasıl belirlenir?,"Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
"Yaz okulunda alabileceğim ders sayısını etkileyen faktörler nelerdir, bu faktörleri değerlendirirken nelere dikkat etmeliyim?","Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
"Yaz okulunda alabileceğim ders sayısını artırmak veya azaltmak için neler yapabilirim, bu konuda kime başvurabilirim?","Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
"Yaz okulunda alabileceğim ders sayısının sınırlarını aşmanın sonuçları ve bu durumla ilgili yapabileceğim şeyler nelerdir, bu konuda daha fazla bilgi alabileceğim kaynaklar nelerdir?","Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
"Yaz okulunda farklı bir üniversiteden aldığım dersin notunu kendi üniversitemin sistemine nasıl işletebilirim?
","Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
Farklı bir üniversiteden aldığım dersin notunun işlenmesi için hangi belgeleri veya prosedürleri takip etmem gerekiyor?,"Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
Farklı bir üniversiteden aldığım dersin notunu işletme süreci ne kadar sürer ve sonuçları ne zaman görebilirim?,"Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
Farklı bir üniversiteden aldığım dersin notunun işlenmesi sırasında karşılaşabileceğim sorunları nasıl çözebilirim?,"Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
Farklı bir üniversiteden aldığım dersin notunun işlenmesi konusunda daha fazla bilgi alabileceğim yetkili birim veya kişiler kimlerdir?,"Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
"Yaz okulunda farklı bir üniversiteden ders almak için başvuru süreci ve gereksinimler nelerdir, bu konuda nereden bilgi alabilirim?
","Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
Farklı bir üniversiteden ders alabilmek için gerekli olan izinleri ve prosedürleri nasıl takip etmeliyim?,"Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
Farklı bir üniversiteden ders almak için başvuruda bulunmadan önce dikkat etmem gereken önemli hususlar nelerdir?,"Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
Farklı bir üniversiteden ders almak için gereken belgeleri nasıl temin edebilirim ve başvuru süreci nasıl işliyor?,"Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
"Farklı bir üniversiteden ders almanın avantajları ve dezavantajları nelerdir, bu konuda daha fazla bilgi alabileceğim kaynaklar nelerdir?","Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
"Yaz okulunda kayıt yaptırdığım dersin açılmaması durumunda harç ücretimin iadesi için hangi adımları izlemem gerekiyor?
",Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
Harç ücretimin iadesi için hangi belgeleri ve bilgileri sunmam gerekiyor ve bu süreç nasıl işliyor?,Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
Harç ücretimin iadesi için başvurduktan sonra iade süreci ne kadar sürüyor ve sonuçları ne zaman alabilirim?,Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
Harç ücretimin iadesi sırasında karşılaşabileceğim herhangi bir sorun veya gecikmeleri nasıl çözebilirim?,Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
Harç ücretimin iadesi konusunda daha fazla bilgi alabileceğim yetkili birim veya kişiler kimlerdir ve bu konuda nereden yardım alabilirim?,Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
"Yaz okulunda seçebileceğim derslerin listesi nerede bulunabilir ve bu konuda nereden bilgi alabilirim?
","Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
Yaz okulunda seçebileceğim derslerin içerikleri ve açıklamaları hakkında daha fazla bilgiye nasıl ulaşabilirim?,"Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
Yaz okulunda seçebileceğim derslerin kontenjanları ve planlanan ders saatleri hakkında nasıl bilgi alabilirim?,"Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
"Yaz okulunda seçebileceğim derslerin ön koşulları veya gereksinimleri nelerdir, bu konuda nereden bilgi alabilirim?","Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
Yaz okulunda seçebileceğim derslerin benim akademik ve kariyer hedeflerime nasıl katkı sağlayabileceği konusunda kimden danışmanlık alabilirim?,"Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
"Yaz okulunda başka bir bölümden veya üniversiteden ders almanın izin ve prosedürleri nelerdir, bu konuda nereden bilgi alabilirim?





","Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
"Başka bir bölüm veya üniversiteden ders almanın akademik ve idari izin gerektirdiği durumlar nelerdir, bu izinleri nasıl alabilirim?","Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
Başka bir bölüm veya üniversiteden ders almanın ders yükü ve zamanlama açısından uygunluğunu nasıl değerlendirebilirim?,"Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
"Başka bir bölüm veya üniversiteden ders almanın avantajları ve dezavantajları nelerdir, bu konuda daha fazla bilgi alabileceğim kaynaklar nelerdir?","Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
Başka bir bölüm veya üniversiteden ders almanın kariyer ve akademik hedeflerime nasıl katkı sağlayabileceği konusunda kimden danışmanlık alabilirim?,"Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
"Tek ders ya da çift ders sınav dilekçesi formuna nasıl erişebilirim ve bu formu nereden bulabilirim?
",Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
"Tek ders ya da çift ders sınav dilekçesi doldurma süreci ve gereksinimleri nelerdir, bu konuda nereden bilgi alabilirim?",Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
Tek ders ya da çift ders sınav dilekçesi için hangi belgelerin gerekli olduğunu nasıl öğrenebilirim?,Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
Tek ders ya da çift ders sınav dilekçesi başvurusunun sonuçları ne zaman açıklanır ve sonuçları nasıl öğrenebilirim?,Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
Tek ders ya da çift ders sınav dilekçesiyle ilgili sorularımı kimden veya hangi birimden sorabilir ve yardım alabilirim?,Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
"Tek ders veya çift ders sınavlarına başvuruda bulunmanın adımları nelerdir, bu süreç nasıl işler?
","Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
"Tek ders veya çift ders sınavlarına başvurabilmek için hangi belgeleri hazırlamam gerekiyor, bu belgeleri nereden temin edebilirim?","Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
Tek ders veya çift ders sınavlarına başvuru sürecinde dikkat etmem gereken önemli hususlar nelerdir?,"Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
Tek ders veya çift ders sınavlarına başvurduktan sonra başvurumun durumunu nasıl takip edebilirim ve sonuçları ne zaman öğrenebilirim?,"Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
"Tek ders veya çift ders sınavlarına başvurabilmek için danışabileceğim yetkili birim veya kişiler kimlerdir, bu konuda nereden yardım alabilirim?","Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
"Çift ders sınavının tarihleri ve zamanlaması hakkında bilgiye nereden ulaşabilirim?





",Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
"Çift ders sınavına başvuruda bulunma süresi ve son başvuru tarihi nedir, bu konuda nereden bilgi alabilirim?",Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
"Çift ders sınavına katılabilmek için hangi şartları sağlamam gerekiyor, bu şartlar nelerdir?",Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
Çift ders sınavına katılmak için gerekli olan belgeleri ve prosedürleri nasıl öğrenebilirim?,Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
Çift ders sınavı için başvurduktan sonra sınavın yeri ve saati hakkında nasıl bilgi alabilirim?,Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
"Tek ders sınavlarının yapılacağı tarihler ve zamanlaması hakkında bilgiye nereden ulaşabilirim?
",Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
"Tek ders sınavları için başvuru süresi ve son başvuru tarihi nedir, bu konuda nereden bilgi alabilirim?",Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
"Tek ders sınavlarına katılabilmek için hangi şartları sağlamam gerekiyor, bu şartlar nelerdir?",Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
Tek ders sınavlarına katılmak için gerekli olan belgeleri ve prosedürleri nasıl öğrenebilirim?,Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
Tek ders sınavı için başvurduktan sonra sınavın yeri ve saati hakkında nasıl bilgi alabilirim?,Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
"Uzaktan eğitimde
derslerim görünmüyor.
Ne yapmalıyım?","Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
"Uzaktan eğitim sisteminde
derslerim görünmediğinde ne yapmalıyım?","Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
"Sisteminde
derslerim görünmediğinde ne yapmalıyım?","Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
"Ders kaydı yaptıktan sonra uzaktan eğitimde derslerim görünmüyor.
Ne yapmalıyım?","Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
Derslerim uzaktan eğitim sisteminde görünmediğinde ne yapmalıyım?,"Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
"Uzaktan eğitimde derslerime erişimim olmadığında ne yapmalıyım?
","Uzaktan eğitim komisyonu ile iletişime geçilmesi gerekmektedir. Bunun için Arş.
Gör. Gamze Pelin AKSOY’a başvurunuz."
"Online dersler için kaydımı yapmayı unuttum, şimdi ne yapmalıyım?","Uzaktan eğitim komisyonu ile iletişime geçilmesi gerekmektedir. Bunun için Arş.
Gör. Gamze Pelin AKSOY’a başvurunuz."
